ID,CHAMP,HT,AT,HG,AG,RSL,MDATE,RD,HODD,DODD,AODD,YR,TG
00KFIFTS,1,13,15,1,0,H,2006-09-17,24,2.93,3.16,2.23,2006,1
06aBKMtQ,1,1,14,2,1,H,2006-08-05,15,1.75,3.34,4.09,2006,3
08jWomIA,1,1,12,1,3,A,2006-05-07,4,2.42,3.14,2.58,2006,4
0buRUwzj,1,6,8,3,0,H,2006-10-18,30,1.97,3.20,3.43,2006,3
0firvcVg,1,1,2,5,3,H,2006-12-03,38,1.61,3.53,4.84,2006,8
0lfFgvKJ,1,12,16,4,0,H,2006-04-29,3,1.44,3.68,6.63,2006,4
0nFQ52Qt,1,15,1,2,0,H,2006-05-28,8,1.83,3.27,3.73,2006,2
0ri26THp,1,13,9,1,3,A,2006-08-16,17,1.58,3.45,5.20,2006,4
0YDZbwjM,1,6,15,1,1,D,2006-11-26,37,1.96,3.21,3.42,2006,2
296sEZyp,1,9,17,3,4,A,2006-09-17,24,2.29,3.15,2.79,2006,7
2F3UP20F,1,18,14,2,1,H,2006-05-24,7,1.98,3.24,3.27,2006,3
2FsaAN0S,1,13,10,1,1,D,2006-05-21,6,1.80,3.28,3.84,2006,2
2knclSzB,1,17,1,3,0,H,2006-10-15,29,2.19,3.19,2.90,2006,3
2Noe5KB2,1,19,2,1,0,H,2006-10-26,31,1.39,3.88,7.50,2006,1
2NPPkuCF,1,11,17,0,2,A,2006-10-22,30,1.49,3.54,6.27,2006,2
2RaDA0Vi,1,5,20,2,2,D,2006-09-10,23,1.64,3.45,4.70,2006,4
2wnHGbN1,1,5,9,0,0,D,2006-05-27,8,1.59,3.45,5.10,2006,0
44NyCegU,1,9,3,0,2,A,2006-06-03,10,2.59,3.21,2.36,2006,2
4bUpvTfD,1,2,17,1,0,H,2006-08-30,21,1.78,3.29,4.01,2006,1
4fGSYnyO,1,3,9,0,0,D,2006-10-14,29,1.38,4.19,7.25,2006,0
4GuLutWH,1,6,13,2,2,D,2006-08-31,21,1.53,3.59,5.39,2006,4
4I2AQf8N,1,15,4,0,0,D,2006-06-04,10,1.43,3.75,6.53,2006,0
4KF801kf,1,7,4,1,1,D,2006-07-30,14,1.76,3.35,4.06,2006,2
4lZvM3hB,1,7,13,0,0,D,2006-11-09,34,1.69,3.37,4.41,2006,0
4MxboGRa,1,6,7,1,1,D,2006-04-30,3,2.58,3.17,2.43,2006,2
4nUWvIbj,1,4,1,0,0,D,2006-11-26,37,2.13,3.20,3.01,2006,0
4rnVMuqr,1,16,5,0,0,D,2006-04-16,1,1.73,3.30,4.18,2006,0
4UxOTffK,1,15,12,0,1,A,2006-11-05,33,2.25,3.17,2.82,2006,1
4vCs2KP5,1,6,12,1,1,D,2006-05-28,8,2.66,3.20,2.34,2006,2
4vvowYiT,1,8,6,4,2,H,2006-07-13,11,1.73,3.35,4.19,2006,6
4WTreLV4,1,20,2,2,0,H,2006-09-03,22,1.79,3.31,3.98,2006,2
4z4WFtks,1,4,12,1,1,D,2006-08-06,15,2.21,3.22,2.92,2006,2
65LdYr61,1,5,10,2,0,H,2006-07-22,13,1.74,3.35,4.09,2006,2
670GhDiG,1,17,6,0,1,A,2006-07-16,12,2.08,3.21,3.09,2006,1
6aEjyLuP,1,7,12,1,2,A,2006-10-07,28,3.08,3.21,2.10,2006,3
6mljCqWF,1,3,17,2,1,H,2006-05-21,6,1.64,3.35,4.71,2006,3
6oPutz8A,1,18,4,1,1,D,2006-07-12,11,1.82,3.31,3.77,2006,2
6sZTOyYB,1,12,20,2,1,H,2006-08-13,16,1.83,3.31,3.76,2006,3
6uvlUW9i,1,16,10,2,4,A,2006-08-16,17,2.10,3.20,3.06,2006,6
6wLBJeEM,1,7,5,2,0,H,2006-09-17,24,2.14,3.16,3.04,2006,2
6wssZzE9,1,18,12,0,1,A,2006-09-20,25,3.26,3.22,2.02,2006,1
6Xq7RzgH,1,2,12,1,1,D,2006-06-04,10,2.49,3.18,2.48,2006,2
6ytNVJKq,1,8,14,2,2,D,2006-10-15,29,1.68,3.42,4.47,2006,4
8CCPdJlJ,1,5,18,1,1,D,2006-08-05,15,1.70,3.40,4.33,2006,2
8CzY63CQ,1,6,3,1,0,H,2006-07-30,14,2.47,3.17,2.53,2006,1
8GALROV2,1,3,13,5,1,H,2006-05-24,7,1.44,3.73,6.31,2006,6
8GnDHv8e,1,1,19,0,1,A,2006-05-25,7,2.21,3.23,2.83,2006,1
8jicNUeE,1,19,3,1,1,D,2006-05-28,8,1.99,3.22,3.23,2006,2
8KjnwHp0,1,15,16,3,1,H,2006-12-03,38,1.17,5.64,11.79,2006,4
8MuWNPNb,1,14,1,1,2,A,2006-11-08,34,1.76,3.39,4.02,2006,3
8rgL9Z2l,1,4,19,0,1,A,2006-11-02,32,2.29,3.15,2.77,2006,1
8WzxtkQ0,1,9,4,2,3,A,2006-08-27,20,1.93,3.22,3.49,2006,5
A3H0w5No,1,6,2,1,1,D,2006-11-11,35,1.55,3.62,5.27,2006,2
ABR2LHqA,1,12,19,2,0,H,2006-09-17,24,2.05,3.18,3.19,2006,2
AeNJz96B,1,5,4,1,0,H,2006-10-08,28,1.74,3.31,4.23,2006,1
AHY8IuAn,1,17,8,2,1,H,2006-05-31,9,1.89,3.26,3.54,2006,3
AoxjIHcD,1,7,20,1,0,H,2006-04-22,2,1.96,3.23,3.31,2006,1
