ID,CHAMP,HT,AT,HG,AG,RSL,MDATE,RD,HODD,DODD,AODD,YR,TG
04wp463O,11,25,42,1,0,H,2006-09-05,21,,,,2006,1
08JilbAg,11,40,47,4,1,H,2006-09-23,26,,,,2006,5
0G1jec4f,11,31,24,2,0,H,2006-07-15,12,,,,2006,2
0GTuGRE9,11,48,45,3,1,H,2006-10-07,29,,,,2006,4
0IYdz1Pp,11,21,40,2,1,H,2006-04-28,3,,,,2006,3
0pDp9GYg,11,33,42,0,0,D,2006-07-22,13,,,,2006,0
0SDVIafA,11,49,22,1,1,D,2006-07-11,11,,,,2006,2
0xDUFqmU,11,32,47,3,1,H,2006-09-08,22,,,,2006,4
0xVo2Hvg,11,25,23,1,0,H,2006-09-29,27,,,,2006,1
0xXGNORO,11,45,22,0,1,A,2006-05-27,8,,,,2006,1
0YdOckO1,11,49,46,2,1,H,2006-07-14,12,,,,2006,3
278NzvF2,11,47,27,1,2,A,2006-05-20,6,,,,2006,3
29NzNuR0,11,22,21,2,0,H,2006-09-19,25,,,,2006,2
2FbQf5dn,11,32,24,0,0,D,2006-05-30,9,,,,2006,0
2JSOnyEE,11,32,41,3,1,H,2006-05-23,7,,,,2006,4
2mQ9zfbp,11,45,27,1,3,A,2006-11-07,35,,,,2006,4
2TquWhbc,11,46,44,0,1,A,2006-09-12,23,,,,2006,1
2u4aYuLl,11,24,31,4,1,H,2006-10-21,31,,,,2006,5
2u4dTd6N,11,41,22,2,0,H,2006-11-03,34,,,,2006,2
2w9gixE1,11,33,44,2,2,D,2006-08-22,19,,,,2006,4
2ZAMDBrT,11,47,45,1,1,D,2006-09-12,23,,,,2006,2
40ATWduJ,11,30,49,2,2,D,2006-09-23,26,,,,2006,4
42BNZ3hG,11,32,33,2,1,H,2006-08-12,16,,,,2006,3
4bTyAs1c,11,45,47,1,0,H,2006-05-06,4,,,,2006,1
4bZtZW15,11,45,24,2,2,D,2006-08-05,15,,,,2006,4
4dzy7Nyd,11,25,43,3,1,H,2006-10-10,30,,,,2006,4
4KMBi0oT,11,31,49,1,0,H,2006-05-02,4,,,,2006,1
4MulEEw5,11,40,43,2,0,H,2006-10-03,28,,,,2006,2
4UkB8J1P,11,47,44,0,1,A,2006-09-29,27,,,,2006,1
4xpy6SYB,11,40,23,1,0,H,2006-09-02,20,,,,2006,1
61n60ARe,11,25,49,2,0,H,2006-11-18,37,,,,2006,2
67HUOXL7,11,42,45,2,1,H,2006-05-23,7,,,,2006,3
6aZ7n84P,11,23,25,2,0,H,2006-05-27,8,,,,2006,2
6BcKbV8e,11,25,40,1,1,D,2006-07-14,12,,,,2006,2
6egX6HDl,11,31,27,1,2,A,2006-08-26,19,,,,2006,3
6FDQGPXN,11,22,30,0,0,D,2006-09-08,22,,,,2006,0
6FuxggKS,11,21,31,3,0,H,2006-11-07,35,,,,2006,3
6g8yYKih,11,45,43,1,3,A,2006-10-31,33,,,,2006,4
6HzXHmpc,11,42,22,1,1,D,2006-10-07,29,,,,2006,2
6kdf1sI6,11,22,25,2,3,A,2006-11-25,38,,,,2006,5
6N56bKLR,11,44,23,1,1,D,2006-08-19,18,,,,2006,2
6Vm55JFS,11,42,47,5,1,H,2006-05-09,5,,,,2006,6
6VozpCSd,11,47,42,2,0,H,2006-09-16,24,,,,2006,2
6wSJp1iS,11,24,27,2,1,H,2006-08-15,17,,,,2006,3
6wxw4wAt,11,43,21,2,0,H,2006-09-29,27,,,,2006,2
8f8ExLQm,11,48,31,3,1,H,2006-09-19,25,,,,2006,4
8Ga15YXI,11,31,44,2,0,H,2006-07-25,14,,,,2006,2
8hT2gMGG,11,24,42,5,0,H,2006-04-29,3,,,,2006,5
8Qlzqx6A,11,31,25,1,1,D,2006-11-04,34,,,,2006,2
8tXmE5qM,11,27,46,6,2,H,2006-10-07,29,,,,2006,8
8Upu5R7K,11,32,42,3,2,H,2006-04-15,1,,,,2006,5
8v2elqh3,11,46,48,2,0,H,2006-08-15,17,,,,2006,2
8vzX0wOq,11,45,30,3,1,H,2006-05-09,5,,,,2006,4
8Yf8z2BU,11,42,23,1,2,A,2006-05-30,9,,,,2006,3
A5Pxfphj,11,32,25,3,1,H,2006-10-06,29,,,,2006,4
