ID,CHAMP,HT,AT,HG,AG,RSL,MDATE,RD,HODD,DODD,AODD,YR,TG
00mnFsuq,21,76,72,2,0,H,2006-11-19,11,2.10,3.16,3.34,2006,2
04wnpWnJ,21,81,80,0,0,D,2007-01-20,19,2.89,3.15,2.29,2006,0
08kTG9M4,21,66,81,1,1,D,2006-12-10,14,2.34,2.99,2.99,2006,2
0ApZcDTi,21,64,72,0,3,A,2007-03-17,27,2.23,3.11,3.06,2006,3
0GZnLtaC,21,72,73,1,2,A,2007-06-17,38,3.02,3.36,2.14,2006,3
0nruF297,21,73,74,1,1,D,2007-02-24,24,2.53,3.05,2.67,2006,2
0OBt3jh5,21,69,78,0,0,D,2006-12-03,13,1.86,3.15,3.98,2006,0
0SaL6pmM,21,66,76,1,2,A,2006-11-12,10,1.82,3.23,4.09,2006,3
0t1w2U9j,21,73,80,2,1,H,2006-09-24,4,2.35,3.17,2.82,2006,3
2arB28wR,21,66,79,2,1,H,2007-05-27,36,2.29,3.22,2.83,2006,3
2eOZDVId,21,70,72,2,3,A,2007-02-11,22,2.68,3.17,2.44,2006,5
2ez0rmne,21,73,71,0,6,A,2007-05-20,35,3.32,3.23,2.07,2006,6
2ksY0cJu,21,67,78,1,0,H,2006-09-10,2,1.82,3.24,4.17,2006,1
2LgGDbaD,21,73,76,2,1,H,2006-10-14,6,1.46,3.73,7.02,2006,3
2m8ca8iU,21,80,74,2,1,H,2006-12-09,14,2.33,3.12,2.81,2006,3
2qdAd9Jc,21,81,79,3,2,H,2006-11-05,9,1.66,3.38,5.01,2006,5
2RdHNiH3,21,66,72,0,2,A,2006-09-24,4,1.89,3.23,3.95,2006,2
2wkNrSxP,21,68,70,0,1,A,2006-08-27,1,1.73,3.29,4.43,2006,1
2ytSdxTn,21,67,69,2,0,H,2006-10-29,8,2.29,3.14,2.90,2006,2
46kCfqKF,21,68,76,0,1,A,2007-01-07,17,2.05,3.18,3.37,2006,1
46PZhzD5,21,83,81,0,1,A,2006-10-29,8,2.78,3.18,2.37,2006,1
4AF77jnT,21,74,83,2,0,H,2006-09-17,3,1.24,5.03,11.10,2006,2
4dzwmmLj,21,82,68,3,2,H,2007-03-31,28,1.67,3.39,5.08,2006,5
4f5MiBvF,21,68,67,1,5,A,2007-05-20,35,2.18,3.18,3.12,2006,6
4lpzTLw7,21,82,66,1,0,H,2007-03-03,25,1.43,3.85,7.21,2006,1
4QZ6WlMi,21,76,80,1,3,A,2006-12-17,15,3.37,3.22,2.04,2006,4
4raCOXwP,21,82,76,2,0,H,2007-04-28,32,1.52,3.62,6.25,2006,2
4t4DgXHT,21,69,81,2,0,H,2006-09-16,3,2.27,3.15,3.00,2006,2
4tOPQ70B,21,78,67,1,0,H,2007-02-04,21,2.30,3.15,2.89,2006,1
4WSuQsza,21,72,77,2,2,D,2007-04-29,32,2.78,3.11,2.40,2006,4
65tPIpAr,21,64,67,2,0,H,2007-02-18,23,2.32,3.13,2.84,2006,2
69pWwnn8,21,66,78,2,2,D,2007-02-25,24,2.22,3.14,3.01,2006,4
6c0eXh3D,21,68,71,3,1,H,2007-01-13,18,5.29,3.46,1.60,2006,4
