ID,HT,AT,HG,AG,TG,RSL,MDATE,RD,HODD,DODD,AODD,YR,CHAMP,BPTA,BGFA,BGAA,BGB,RPTA,RGFA,RGAA,RGD
OUD85vE7,Vasco,Internacional,1,1,2,1,2006-04-15,1,2.51,3.27,2.4,2006,serie-a,1,1,1,1,1,1,1,1
pvF46Kb1,Juventude,Parana,1,0,1,0,2006-04-15,1,1.89,3.28,3.52,2006,serie-a,1,1,1,1,0,0,0,0
4rnVMuqr,Santa Cruz,Figueirense,0,0,0,1,2006-04-16,1,1.73,3.3,4.18,2006,serie-a,1,1,1,1,1,1,1,1
Cjf3RLzR,Botafogo RJ,Fortaleza,1,0,1,0,2006-04-16,1,1.52,3.58,5.53,2006,serie-a,1,1,1,1,0,0,0,0
jy6fTs6E,Sao Paulo,Flamengo RJ,1,0,1,0,2006-04-16,1,1.43,3.78,6.45,2006,serie-a,1,1,1,1,0,0,0,0
QczvLJDf,Goias,Santos,0,0,0,1,2006-04-16,1,1.91,3.3,3.48,2006,serie-a,1,1,1,1,1,1,1,1
rZpZLabl,Palmeiras,Ponte Preta,2,3,5,2,2006-04-16,1,1.36,4.04,7.5,2006,serie-a,1,1,1,1,0,0,0,0
xY1jUNj8,Gremio,Corinthians,2,0,2,0,2006-04-16,1,2.57,3.3,2.32,2006,serie-a,1,1,1,1,0,0,0,0
xYwrKwT0,Atletico-PR,Fluminense,1,2,3,2,2006-04-16,1,2.03,3.23,3.15,2006,serie-a,1,1,1,1,0,0,0,0
YaeaS1LK,Sao Caetano,Cruzeiro,2,1,3,0,2006-04-16,1,2.18,3.23,2.87,2006,serie-a,1,1,1,1,0,0,0,0
AoxjIHcD,Fluminense,Goias,1,0,1,0,2006-04-22,2,1.96,3.23,3.31,2006,serie-a,0,0,2,0,1,1,0,1
n3LYt1zE,Figueirense,Palmeiras,6,1,7,0,2006-04-22,2,2.3,3.18,2.7,2006,serie-a,0,2,0,0,1,0,1,1
WfwnJcr7,Corinthians,Sao Caetano,3,0,3,0,2006-04-22,2,1.67,3.37,4.45,2006,serie-a,2,2,2,2,0,0,0,0
CSDKXdc0,Parana,Botafogo RJ,0,0,0,1,2006-04-23,2,1.9,3.26,3.49,2006,serie-a,2,2,2,2,0,0,0,0
dxB8zaDs,Ponte Preta,Vasco,1,2,3,2,2006-04-23,2,2.17,3.23,2.86,2006,serie-a,0,0,2,0,0,0,1,0
IiaHYxrf,Cruzeiro,Gremio,3,1,4,0,2006-04-23,2,1.58,3.42,5.17,2006,serie-a,2,2,2,2,0,0,0,0
jJCOWGC6,Fortaleza,Sao Paulo,1,0,1,0,2006-04-23,2,2.32,3.17,2.68,2006,serie-a,2,2,2,2,0,0,0,0
KGJtuu5Q,Santos,Atletico-PR,2,0,2,0,2006-04-23,2,1.69,3.43,4.48,2006,serie-a,0,2,0,0,1,0,1,1
QgKxtLkK,Internacional,Santa Cruz,1,0,1,0,2006-04-23,2,1.53,3.53,5.61,2006,serie-a,1,0,2,1,0,1,0,0
v10DZISm,Flamengo RJ,Juventude,3,1,4,0,2006-04-23,2,1.87,3.29,3.59,2006,serie-a,2,2,2,2,0,0,0,0
0lfFgvKJ,Sao Paulo,Santa Cruz,4,0,4,0,2006-04-29,3,1.44,3.68,6.63,2006,serie-a,0,0,1,0,1,1,0,1
no6XUfsJ,Botafogo RJ,Atletico-PR,0,4,4,2,2006-04-29,3,1.67,3.42,4.33,2006,serie-a,0,1,0,0,0,0,0,0
Ys2TVzSC,Fortaleza,Sao Caetano,2,1,3,0,2006-04-29,3,2.13,3.15,3.0,2006,serie-a,1,2,0,0,0,0,1,1
4MxboGRa,Vasco,Fluminense,1,1,2,1,2006-04-30,3,2.58,3.17,2.43,2006,serie-a,2,1,2,2,0,1,0,0
bPZkmxcm,Parana,Gremio,5,2,7,0,2006-04-30,3,2.2,3.16,2.89,2006,serie-a,2,2,0,2,0,0,1,0
hnZgndCg,Palmeiras,Santos,1,2,3,2,2006-04-30,3,2.5,3.14,2.5,2006,serie-a,2,0,2,2,1,0,1,1
KYznlIss,Ponte Preta,Corinthians,3,2,5,0,2006-04-30,3,2.79,3.15,2.24,2006,serie-a,1,0,2,2,0,1,0,0
noS2pzs6,Juventude,Goias,1,1,2,1,2006-04-30,3,1.88,3.23,3.53,2006,serie-a,0,0,2,1,0,0,0,1
QyR6qfdC,Figueirense,Cruzeiro,0,2,2,2,2006-04-30,3,2.23,3.18,2.81,2006,serie-a,0,0,0,0,0,0,0,0
vugJhbZP,Internacional,Flamengo RJ,1,0,1,0,2006-04-30,3,1.76,3.34,3.9,2006,serie-a,0,2,0,1,1,0,1,0
fBVArEBI,Santa Cruz,Ponte Preta,1,1,2,1,2006-05-06,4,2.07,3.21,3.08,2006,serie-a,2,2,0,2,0,0,0,0
WzgvRoto,Fluminense,Parana,2,1,3,0,2006-05-06,4,1.5,3.54,5.89,2006,serie-a,0,2,0,1,1,0,1,0
YuXMkVIo,Santos,Fortaleza,2,0,2,0,2006-05-06,4,1.55,3.5,5.33,2006,serie-a,0,0,0,0,1,1,1,1
08jWomIA,Corinthians,Sao Paulo,1,3,4,2,2006-05-07,4,2.42,3.14,2.58,2006,serie-a,2,1,2,2,1,0,1,1
KdZYnT24,Atletico-PR,Internacional,1,2,3,2,2006-05-07,4,1.84,3.27,3.73,2006,serie-a,2,0,2,2,1,0,1,1
nPhrqo2T,Cruzeiro,Juventude,2,0,2,0,2006-05-07,4,1.46,3.69,6.13,2006,serie-a,0,0,0,0,1,1,1,1
nqyRlkYi,Gremio,Vasco,1,2,3,2,2006-05-07,4,1.73,3.29,4.21,2006,serie-a,2,0,2,2,1,0,1,1
t6zVm9mb,Sao Caetano,Palmeiras,2,0,2,0,2006-05-07,4,1.9,3.27,3.58,2006,serie-a,0,2,0,0,1,0,1,1
vakzo7XG,Goias,Figueirense,2,1,3,0,2006-05-07,4,1.6,3.38,5.14,2006,serie-a,2,2,0,2,0,0,1,0
YLlvpRnN,Flamengo RJ,Botafogo RJ,1,0,1,0,2006-05-07,4,2.38,3.17,2.61,2006,serie-a,2,0,0,0,0,1,1,1
h6VAv5Ap,Sao Caetano,Juventude,0,2,2,2,2006-05-13,5,1.6,3.48,4.85,2006,serie-a,0,0,1,0,0,0,0,0
KCNd282i,Santos,Ponte Preta,3,1,4,0,2006-05-13,5,1.39,3.89,7.15,2006,serie-a,0,2,0,0,1,0,1,1
WdUEwPPj,Botafogo RJ,Gremio,2,2,4,1,2006-05-13,5,1.79,3.28,3.93,2006,serie-a,0,2,0,1,0,0,0,1
b3M01SHc,Santa Cruz,Atletico-PR,1,2,3,2,2006-05-14,5,2.32,3.23,2.65,2006,serie-a,2,2,1,2,1,1,0,1
CQSGcpHM,Flamengo RJ,Fortaleza,0,0,0,1,2006-05-14,5,1.68,3.44,4.3,2006,serie-a,1,0,0,0,1,0,0,0
tSB50nX3,Internacional,Sao Paulo,3,1,4,0,2006-05-14,5,2.02,3.24,3.22,2006,serie-a,0,2,1,2,1,0,0,0
U1NLd4WS,Parana,Corinthians,1,2,3,2,2006-05-14,5,3.05,3.23,2.09,2006,serie-a,0,1,0,0,0,0,0,0
vDU8a6nA,Figueirense,Fluminense,1,0,1,0,2006-05-14,5,2.08,3.22,3.04,2006,serie-a,2,0,2,2,0,1,0,0
WA9mhOvp,Goias,Vasco,2,0,2,0,2006-05-14,5,1.54,3.51,5.29,2006,serie-a,2,2,0,2,0,0,1,0
YZTCbQ1G,Palmeiras,Cruzeiro,1,1,2,1,2006-05-14,5,2.46,3.2,2.5,2006,serie-a,2,2,2,2,0,0,0,0
KWkrE513,Sao Paulo,Sao Caetano,1,0,1,0,2006-05-20,6,1.46,3.71,6.04,2006,serie-a,0,0,0,0,1,1,1,1
QX8iirfj,Atletico-PR,Goias,2,3,5,2,2006-05-20,6,1.92,3.26,3.44,2006,serie-a,2,0,2,2,1,0,1,1
ttivFonc,Internacional,Figueirense,2,4,6,2,2006-05-20,6,1.42,3.83,6.61,2006,serie-a,0,1,0,0,0,0,0,0
vyDej29d,Fortaleza,Parana,1,1,2,1,2006-05-20,6,1.73,3.32,4.2,2006,serie-a,0,2,0,2,0,0,0,0
2FsaAN0S,Ponte Preta,Gremio,1,1,2,1,2006-05-21,6,1.8,3.28,3.84,2006,serie-a,0,0,0,0,0,0,0,0
6mljCqWF,Cruzeiro,Flamengo RJ,2,1,3,0,2006-05-21,6,1.64,3.35,4.71,2006,serie-a,0,0,2,0,1,1,0,1
boTU41Ok,Juventude,Botafogo RJ,1,0,1,0,2006-05-21,6,1.82,3.27,3.77,2006,serie-a,0,0,0,0,1,1,1,1
KfUQ5s9q,Fluminense,Santos,1,0,1,0,2006-05-21,6,2.09,3.19,3.07,2006,serie-a,2,2,2,2,0,0,0,0
lCweB3oM,Palmeiras,Santa Cruz,2,1,3,0,2006-05-21,6,1.49,3.63,5.76,2006,serie-a,2,0,2,2,0,1,0,0
SdknDPG9,Vasco,Corinthians,2,4,6,2,2006-05-21,6,2.53,3.18,2.43,2006,serie-a,0,2,0,0,0,1,0,0
2F3UP20F,Sao Caetano,Atletico-PR,2,1,3,0,2006-05-24,7,1.98,3.24,3.27,2006,serie-a,1,2,0,2,0,0,1,0
8GALROV2,Cruzeiro,Ponte Preta,5,1,6,0,2006-05-24,7,1.44,3.73,6.31,2006,serie-a,0,0,0,0,1,1,1,1
Au7xOtVR,Fortaleza,Fluminense,2,5,7,2,2006-05-24,7,2.18,3.23,2.84,2006,serie-a,2,2,2,2,1,1,1,1
fDMw3ug2,Parana,Figueirense,0,0,0,1,2006-05-24,7,1.9,3.25,3.55,2006,serie-a,2,2,2,2,0,0,0,0
GMNZ3Lwd,Juventude,Santa Cruz,4,1,5,0,2006-05-24,7,1.45,3.72,6.31,2006,serie-a,0,0,0,0,1,1,1,1
KjEPQro9,Sao Paulo,Palmeiras,4,1,5,0,2006-05-24,7,1.65,3.38,4.63,2006,serie-a,0,0,0,0,1,1,1,1
t62YOMFL,Flamengo RJ,Santos,2,2,4,1,2006-05-24,7,2.45,3.2,2.52,2006,serie-a,2,2,2,2,0,0,0,0
8GnDHv8e,Corinthians,Internacional,0,1,1,2,2006-05-25,7,2.21,3.23,2.83,2006,serie-a,2,0,2,2,1,0,1,1
Clg4J0wq,Botafogo RJ,Vasco,4,1,5,0,2006-05-25,7,2.52,3.17,2.47,2006,serie-a,2,2,0,2,0,0,1,0
fDr9IKhk,Gremio,Goias,2,0,2,0,2006-05-25,7,2.22,3.21,2.82,2006,serie-a,2,0,2,2,0,1,0,0
2wnHGbN1,Figueirense,Fortaleza,0,0,0,1,2006-05-27,8,1.59,3.45,5.1,2006,serie-a,0,0,0,0,0,0,0,0
tUpLFIx8,Ponte Preta,Parana,2,5,7,2,2006-05-27,8,1.94,3.23,3.42,2006,serie-a,0,0,2,2,0,0,1,1
UahgOAt8,Atletico-PR,Juventude,1,0,1,0,2006-05-27,8,2.03,3.24,3.18,2006,serie-a,2,0,2,2,0,1,0,0
