ID,HT,AT,HG,AG,TG,RSL,MDATE,RD,HODD,DODD,AODD,YR,CHAMP
OUD85vE7,Vasco,Internacional,1,1,2,1,2006-04-15,1,2.51,3.27,2.40,2006,serie-a
pvF46Kb1,Juventude,Parana,1,0,1,0,2006-04-15,1,1.89,3.28,3.52,2006,serie-a
4rnVMuqr,Santa Cruz,Figueirense,0,0,0,1,2006-04-16,1,1.73,3.30,4.18,2006,serie-a
Cjf3RLzR,Botafogo RJ,Fortaleza,1,0,1,0,2006-04-16,1,1.52,3.58,5.53,2006,serie-a
jy6fTs6E,Sao Paulo,Flamengo RJ,1,0,1,0,2006-04-16,1,1.43,3.78,6.45,2006,serie-a
QczvLJDf,Goias,Santos,0,0,0,1,2006-04-16,1,1.91,3.30,3.48,2006,serie-a
rZpZLabl,Palmeiras,Ponte Preta,2,3,5,2,2006-04-16,1,1.36,4.04,7.50,2006,serie-a
xY1jUNj8,Gremio,Corinthians,2,0,2,0,2006-04-16,1,2.57,3.30,2.32,2006,serie-a
xYwrKwT0,Atletico-PR,Fluminense,1,2,3,2,2006-04-16,1,2.03,3.23,3.15,2006,serie-a
YaeaS1LK,Sao Caetano,Cruzeiro,2,1,3,0,2006-04-16,1,2.18,3.23,2.87,2006,serie-a
AoxjIHcD,Fluminense,Goias,1,0,1,0,2006-04-22,2,1.96,3.23,3.31,2006,serie-a
n3LYt1zE,Figueirense,Palmeiras,6,1,7,0,2006-04-22,2,2.30,3.18,2.70,2006,serie-a
WfwnJcr7,Corinthians,Sao Caetano,3,0,3,0,2006-04-22,2,1.67,3.37,4.45,2006,serie-a
CSDKXdc0,Parana,Botafogo RJ,0,0,0,1,2006-04-23,2,1.90,3.26,3.49,2006,serie-a
dxB8zaDs,Ponte Preta,Vasco,1,2,3,2,2006-04-23,2,2.17,3.23,2.86,2006,serie-a
IiaHYxrf,Cruzeiro,Gremio,3,1,4,0,2006-04-23,2,1.58,3.42,5.17,2006,serie-a
jJCOWGC6,Fortaleza,Sao Paulo,1,0,1,0,2006-04-23,2,2.32,3.17,2.68,2006,serie-a
