YR,CHAMP,championship_id,MP,MO,CH,CD,CA,CF,CM,CU,SH,SD,SA,SF,SM,SU,PLH,PLD,PLA,PLF,PLM,PLU,PCT_H,PCT_D,PCT_A,PCT_F,PCT_M,PCT_U
2006,Brazil - Série A,1,380,380,191,97,92,192,111,77,359.11,332.46,319.12,352.58,358.27,299.84,-20.89,-47.54,-60.88,-27.42,-21.73,-80.16,0.5026315789473684,0.25526315789473686,0.24210526315789474,0.5052631578947369,0.29210526315789476,0.2026315789473684
2007,Brazil - Série A,2,380,377,192,90,98,202,85,90,354.62,298.42,351.96,371.71,267.79,365.50,-22.38,-78.58,-25.04,-5.29,-109.21,-11.50,0.5052631578947369,0.23684210526315788,0.2578947368421053,0.5358090185676393,0.22546419098143236,0.23872679045092837
2008,Brazil - Série A,3,380,380,208,96,76,213,97,70,384.42,326.81,271.38,386.11,317.66,278.84,4.42,-53.19,-108.62,6.11,-62.34,-101.16,0.5473684210526316,0.25263157894736843,0.2,0.5605263157894737,0.25526315789473686,0.18421052631578946
2009,Brazil - Série A,4,380,380,195,102,83,201,105,74,371.63,346.91,291.19,377.22,343.82,288.69,-8.37,-33.09,-88.81,-2.78,-36.18,-91.31,0.5131578947368421,0.26842105263157895,0.21842105263157896,0.5289473684210526,0.27631578947368424,0.19473684210526315
2010,Brazil - Série A,5,380,380,179,118,83,183,100,97,337.80,400.51,287.26,336.59,326.62,362.36,-42.20,20.51,-92.74,-43.41,-53.38,-17.64,0.4710526315789474,0.3105263157894737,0.21842105263157896,0.48157894736842105,0.2631578947368421,0.25526315789473686
2011,Brazil - Série A,6,380,380,184,105,91,180,106,94,359.70,360.21,330.94,333.82,346.71,370.32,-20.30,-19.79,-49.06,-46.18,-33.29,-9.68,0.4842105263157895,0.27631578947368424,0.2394736842105263,0.47368421052631576,0.2789473684210526,0.24736842105263157
2012,Brazil - Série A,7,380,379,183,105,92,189,103,87,348.93,358.70,319.01,351.26,336.60,336.93,-30.07,-20.30,-59.99,-27.74,-42.40,-42.07,0.48157894736842105,0.27631578947368424,0.24210526315789474,0.49868073878627966,0.2717678100263852,0.22955145118733508
2013,Brazil - Série A,8,380,380,184,108,88,190,104,86,364.48,363.87,323.60,355.69,340.36,355.90,-15.52,-16.13,-56.40,-24.31,-39.64,-24.10,0.4842105263157895,0.28421052631578947,0.23157894736842105,0.5,0.2736842105263158,0.22631578947368422
2014,Brazil - Série A,9,380,380,197,92,91,201,103,76,388.31,308.79,321.66,379.19,332.90,306.67,8.31,-71.21,-58.34,-0.81,-47.10,-73.33,0.5184210526315789,0.24210526315789474,0.2394736842105263,0.5289473684210526,0.2710526315789474,0.2
2015,Brazil - Série A,10,380,380,200,91,89,208,92,80,386.90,304.28,318.45,394.22,300.05,315.36,6.90,-75.72,-61.55,14.22,-79.95,-64.64,0.5263157894736842,0.2394736842105263,0.23421052631578948,0.5473684210526316,0.24210526315789474,0.21052631578947367
2006,Brazil - Série B,11,380,0,211,101,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5552631578947368,0.2657894736842105,0.17894736842105263,,,
2007,Brazil - Série B,12,380,0,210,93,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5526315789473685,0.24473684210526317,0.2026315789473684,,,
2008,Brazil - Série B,13,380,1,213,93,74,0,0,1,0,0,3.58,0,0,3.58,-1,-1,2.58,-1,-1,2.58,0.5605263157894737,0.24473684210526317,0.19473684210526315,0.0,0.0,1.0
2009,Brazil - Série B,14,380,379,204,78,98,205,89,85,379.22,261.29,365.25,374.66,284.91,346.19,0.22,-117.71,-13.75,-4.34,-94.09,-32.81,0.5368421052631579,0.20526315789473684,0.2578947368421053,0.5408970976253298,0.23482849604221637,0.22427440633245382
2010,Brazil - Série B,15,380,380,197,87,96,201,97,82,372.90,297.36,356.12,375.57,313.79,337.02,-7.10,-82.64,-23.88,-4.43,-66.21,-42.98,0.5184210526315789,0.22894736842105262,0.25263157894736843,0.5289473684210526,0.25526315789473686,0.21578947368421053
2011,Brazil - Série B,16,380,378,181,103,96,196,91,91,326.14,349.13,347.05,353.40,299.51,363.26,-51.86,-28.87,-30.95,-24.60,-78.49,-14.74,0.4763157894736842,0.2710526315789474,0.25263157894736843,0.5185185185185185,0.24074074074074073,0.24074074074074073
2012,Brazil - Série B,17,380,380,195,86,99,207,98,75,369.27,298.37,317.77,379.94,320.17,285.30,-10.73,-81.63,-62.23,-0.06,-59.83,-94.70,0.5131578947368421,0.22631578947368422,0.26052631578947366,0.5447368421052632,0.2578947368421053,0.19736842105263158
2013,Brazil - Série B,18,380,380,198,87,95,199,92,89,384.52,302.20,336.90,371.32,302.87,349.43,4.52,-77.80,-43.10,-8.68,-77.13,-30.57,0.5210526315789473,0.22894736842105262,0.25,0.5236842105263158,0.24210526315789474,0.23421052631578948
