YR,CHAMP,MP,MO,CH,CD,CA,CF,CM,CU,SH,SD,SA,SF,SM,SU,PLH,PLD,PLA,PLF,PLM,PLU,PCT_H,PCT_D,PCT_A,PCT_F,PCT_M,PCT_U,CH_AVG,CD_AVG,CA_AVG,CF_AVG,CM_AVG,CU_AVG,CH_MAX,CD_MAX,CA_MAX,CF_MAX,CM_MAX,CU_MAX
2006,serie-a,380,380,191,97,92,192,111,77,359.11,332.46,319.12,352.58,358.27,299.84,-20.89,-47.54,-60.88,-27.42,-21.73,-80.16,0.5026315789473684,0.25526315789473686,0.24210526315789474,0.5052631578947369,0.29210526315789476,0.2026315789473684,-20.89,-47.54,-60.88,-27.42,-21.73,-80.16,-8.35,-34.85,-29.79,-8.35,-19.35,-37.16
2007,serie-a,380,377,192,90,98,202,85,90,354.62,298.42,351.96,371.71,267.79,365.5,-22.38,-78.58,-25.04,-5.29,-109.21,-11.5,0.5052631578947369,0.23684210526315788,0.2578947368421053,0.5358090185676393,0.22546419098143236,0.23872679045092837,-43.269999999999996,-126.12,-85.92,-32.71,-130.94,-91.66,5.460000000000001,-97.6,-13.809999999999999,5.460000000000001,-106.69999999999999,-6.929999999999996
2008,serie-a,380,380,208,96,76,213,97,70,384.42,326.81,271.38,386.11,317.66,278.84,4.42,-53.19,-108.62,6.11,-62.34,-101.16,0.5473684210526316,0.25263157894736843,0.2,0.5605263157894737,0.25526315789473686,0.18421052631578946,-38.849999999999994,-179.31,-194.54000000000002,-26.6,-193.28,-192.82,37.660000000000004,-120.25999999999999,-76.91,37.660000000000004,-122.83999999999999,-64.25999999999999
2009,serie-a,380,380,195,102,83,201,105,74,371.63,346.91,291.19,377.22,343.82,288.69,-8.37,-33.09,-88.81,-2.78,-36.18,-91.31,0.5131578947368421,0.26842105263157895,0.21842105263157896,0.5289473684210526,0.27631578947368424,0.19473684210526315,-47.21999999999999,-212.4,-283.35,-29.380000000000003,-229.46,-284.13,61.230000000000004,-123.57999999999998,-124.96,61.230000000000004,-133.76,-108.63
2010,serie-a,380,380,179,118,83,183,100,97,337.8,400.51,287.26,336.59,326.62,362.36,-42.2,20.51,-92.74,-43.41,-53.38,-17.64,0.4710526315789474,0.3105263157894737,0.21842105263157896,0.48157894736842105,0.2631578947368421,0.25526315789473686,-89.41999999999999,-191.89000000000001,-376.09000000000003,-72.78999999999999,-282.84000000000003,-301.77,46.24,-67.69999999999999,-173.31,46.24,-130.44,-105.06
2011,serie-a,380,380,184,105,91,180,106,94,359.7,360.21,330.94,333.82,346.71,370.32,-20.3,-19.79,-49.06,-46.18,-33.29,-9.68,0.4842105263157895,0.27631578947368424,0.2394736842105263,0.47368421052631576,0.2789473684210526,0.24736842105263157,-109.71999999999998,-211.68,-425.15000000000003,-118.97,-316.13000000000005,-311.45,25.12,-53.94999999999999,-171.07,25.12,-113.87,-78.88
2012,serie-a,380,379,183,105,92,189,103,87,348.93,358.68,319.01,351.26,336.6,336.91,-30.07,-20.32,-59.99,-27.74,-42.4,-42.09,0.48157894736842105,0.27631578947368424,0.24210526315789474,0.49868073878627966,0.2717678100263852,0.22955145118733508,-139.79,-232.0,-485.14000000000004,-146.71,-358.53000000000003,-353.53999999999996,23.78,-40.72999999999999,-189.04,23.78,-155.97,-45.199999999999996
2013,serie-a,380,380,184,108,88,190,104,86,364.48,363.87,323.6,355.69,340.36,355.9,-15.52,-16.13,-56.4,-24.31,-39.64,-24.1,0.4842105263157895,0.28421052631578947,0.23157894736842105,0.5,0.2736842105263158,0.22631578947368422,-155.31,-248.13,-541.5400000000001,-171.02,-398.17,-377.64,18.740000000000002,-31.77999999999999,-205.45999999999998,18.740000000000002,-179.85,-12.729999999999997
2014,serie-a,380,380,197,92,91,201,103,76,388.31,308.79,321.66,379.19,332.9,306.67,8.31,-71.21,-58.34,-0.81,-47.1,-73.33,0.5184210526315789,0.24210526315789474,0.2394736842105263,0.5289473684210526,0.2710526315789474,0.2,-147.0,-319.34,-599.8800000000001,-171.83,-445.27000000000004,-450.96999999999997,39.83,-80.02999999999999,-221.30999999999997,39.83,-217.48,-24.029999999999998
2015,serie-a,380,380,200,91,89,208,92,80,386.9,304.28,318.45,394.22,300.05,315.36,6.9,-75.72,-61.55,14.22,-79.95,-64.64,0.5263157894736842,0.2394736842105263,0.23421052631578948,0.5473684210526316,0.24210526315789474,0.21052631578947367,-140.1,-395.05999999999995,-661.4300000000001,-157.61,-525.22,-515.61,71.2,-134.87,-245.33999999999997,71.2,-255.91,-65.88
