GOALS,TH,TA,TD,RFH,RFD,RFA,RAH,RAD,RAA,TM,PFT,PAT,PFH,PFA,PAH,PAA,PPFT,PPAT,PPFH,PPFA,PPAH,PPAA
0,422,1058.0,255.0,0.0,255.0,0.0,1058.0,255.0,422.0,1735.0,255.0,4695.0,255.0,255.0,3429.0,1521.0,0.14697406340057637,2.7060518731988474,0.3766617429837518,0.19421172886519422,2.611576542269612,2.2466765140324965
1,815,963.0,432.0,465.0,432.0,229.0,734.0,432.0,350.0,2210.0,2514.0,3684.0,1827.0,1119.0,2634.0,1482.0,1.1375565610859728,1.6669683257918553,1.4651162790697674,0.8021505376344086,1.8881720430107527,1.1884522854851645
2,833,552.0,199.0,738.0,199.0,377.0,175.0,199.0,95.0,1584.0,3544.0,1009.0,2413.0,1330.0,724.0,484.0,2.2373737373737375,0.6369949494949495,2.3381782945736433,1.7709720372836217,0.9640479360852197,0.4689922480620155
3,519,218.0,31.0,504.0,31.0,189.0,29.0,31.0,15.0,768.0,2110.0,163.0,1543.0,598.0,118.0,76.0,2.7473958333333335,0.21223958333333334,2.8054545454545456,2.4016064257028114,0.4738955823293173,0.13818181818181818
4,213,68.0,4.0,213.0,4.0,67.0,1.0,4.0,0.0,285.0,844.0,7.0,643.0,205.0,7.0,4.0,2.9614035087719297,0.02456140350877193,2.9631336405529956,2.8472222222222223,0.09722222222222222,0.018433179723502304
5,61,16.0,0.0,61.0,0.0,16.0,0.0,0.0,0.0,77.0,231.0,0.0,183.0,48.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0
6,13,4.0,0.0,13.0,0.0,4.0,0.0,0.0,0.0,17.0,51.0,0.0,39.0,12.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0
7,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,,,0.0
8,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,,,0.0
9,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,,,0.0
