YR,TH0,TA0,TD0,RFH0,RFD0,RFA0,RAH0,RAD0,RAA0,TM0,PFT0,PAT0,PFH0,PFA0,PAH0,PAA0,PPFT0,PPAT0,PPFH0,PPFA0,PPAH0,PPAA0,TH1,TA1,TD1,RFH1,RFD1,RFA1,RAH1,RAD1,RAA1,TM1,PFT1,PAT1,PFH1,PFA1,PAH1,PAA1,PPFT1,PPAT1,PPFH1,PPFA1,PPAH1,PPAA1,TH2,TA2,TD2,RFH2,RFD2,RFA2,RAH2,RAD2,RAA2,TM2,PFT2,PAT2,PFH2,PFA2,PAH2,PAA2,PPFT2,PPAT2,PPFH2,PPFA2,PPAH2,PPAA2,TH3,TA3,TD3,RFH3,RFD3,RFA3,RAH3,RAD3,RAA3,TM3,PFT3,PAT3,PFH3,PFA3,PAH3,PAA3,PPFT3,PPAT3,PPFH3,PPFA3,PPAH3,PPAA3,TH4,TA4,TD4,RFH4,RFD4,RFA4,RAH4,RAD4,RAA4,TM4,PFT4,PAT4,PFH4,PFA4,PAH4,PAA4,PPFT4,PPAT4,PPFH4,PPFA4,PPAH4,PPAA4,TH5,TA5,TD5,RFH5,RFD5,RFA5,RAH5,RAD5,RAA5,TM5,PFT5,PAT5,PFH5,PFA5,PAH5,PAA5,PPFT5,PPAT5,PPFH5,PPFA5,PPAH5,PPAA5,TH6,TA6,TD6,RFH6,RFD6,RFA6,RAH6,RAD6,RAA6,TM6,PFT6,PAT6,PFH6,PFA6,PAH6,PAA6,PPFT6,PPAT6,PPFH6,PPFA6,PPAH6,PPAA6,TH7,TA7,TD7,RFH7,RFD7,RFA7,RAH7,RAD7,RAA7,TM7,PFT7,PAT7,PFH7,PFA7,PAH7,PAA7,PPFT7,PPAT7,PPFH7,PPFA7,PPAH7,PPAA7
2006,26,107,19,0.0,19,0.0,107,19,26,152,19.0,418,19.0,19.0,340,97,0.125,2.75,0.4222222222222222,0.15079365079365079,2.6984126984126986,2.1555555555555554,74,99,55,44,55,18,81,55,30,228,241,388,187,109,298,145,1.0570175438596492,1.7017543859649122,1.449612403100775,0.7077922077922078,1.9350649350649352,1.124031007751938,90,47,24,81,24,28,19,24,9,161,351,108,267,108,81,51,2.1801242236024843,0.6708074534161491,2.3421052631578947,1.5211267605633803,1.1408450704225352,0.4473684210526316,50,15,3,47,3,11,4.0,3,3.0,68,177,24.0,144,36,15.0,12.0,2.6029411764705883,0.35294117647058826,2.7169811320754715,2.0,0.8333333333333334,0.22641509433962265,29,7,0.0,29,0.0,7,0.0,0.0,0.0,36.0,108.0,0.0,87.0,21.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,6,3.0,0.0,6,0.0,3.0,0.0,0.0,0.0,9.0,27.0,0.0,18.0,9.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,0.0,6.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,36,105,20,0.0,20,0.0,105,20,36,161,20.0,443,20.0,20.0,335,128,0.12422360248447205,2.751552795031056,0.35714285714285715,0.16,2.68,2.2857142857142856,78,99,42,51,42,20,79,42,27,219,255,360,195,102,279,123,1.1643835616438356,1.643835616438356,1.625,0.723404255319149,1.9787234042553192,1.025,77,54,26,64,26,34,20,26,13,157,320,125,218,128,86,65,2.038216560509554,0.7961783439490446,2.116504854368932,1.6,1.075,0.6310679611650486,57,25,4,56,4,19,6.0,4,1.0,86,229,25.0,172,61,22.0,7.0,2.6627906976744184,0.29069767441860467,2.819672131147541,2.103448275862069,0.7586206896551724,0.11475409836065574,26,3,1.0,26,1.0,3,0.0,1.0,0.0,30.0,88.0,1.0,79.0,10.0,1.0,1.0,2.933333333333333,0.03333333333333333,2.925925925925926,2.5,0.25,0.037037037037037035,8,1.0,0.0,8,0.0,1.0,0.0,0.0,0.0,9.0,27.0,0.0,24.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
2008,33,115,21,0.0,21,0.0,115,21,33,169,21.0,465,21.0,21.0,366,120,0.1242603550295858,2.7514792899408285,0.3888888888888889,0.15441176470588236,2.6911764705882355,2.2222222222222223,85,88,39,53,39,14,74,39,32,212,240,357,198,81,261,135,1.1320754716981132,1.6839622641509433,1.596774193548387,0.6377952755905512,2.0551181102362204,1.0887096774193548,80,51,29,73,29,30,21,29,7,160,338,113,248,119,92,50,2.1125,0.70625,2.2752293577981653,1.4875,1.15,0.45871559633027525,62,23,3,60,3,20,3.0,3,2.0,88,243,18.0,183,63,12.0,9.0,2.7613636363636362,0.20454545454545456,2.8153846153846156,2.423076923076923,0.46153846153846156,0.13846153846153847,19,8,1.0,19,1.0,8,0.0,1.0,0.0,28.0,82.0,1.0,58.0,25.0,1.0,1.0,2.9285714285714284,0.03571428571428571,2.9,2.7777777777777777,0.1111111111111111,0.05,7,2.0,0.0,7,0.0,2.0,0.0,0.0,0.0,9.0,27.0,0.0,21.0,6.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,47,95,23,0.0,23,0.0,95,23,47,165,23.0,449,23.0,23.0,308,164,0.1393939393939394,2.721212121212121,0.32857142857142857,0.19491525423728814,2.610169491525424,2.342857142857143,80,123,30,37,30,31,92,30,43,233,234,435,141,123,306,159,1.0042918454935623,1.8669527896995708,1.2818181818181817,0.803921568627451,2.0,1.4454545454545455,93,55,19,85,19,40,15,19,8,167,394,88,274,139,64,43,2.3592814371257487,0.5269461077844312,2.4464285714285716,1.8783783783783783,0.8648648648648649,0.38392857142857145,51,20,5,51,5,18,2.0,5,0.0,76,212,11.0,158,59,11.0,5.0,2.789473684210526,0.14473684210526316,2.8214285714285716,2.36,0.44,0.08928571428571429,23,8,1.0,23,1.0,8,0.0,1.0,0.0,32.0,94.0,1.0,70.0,25.0,1.0,1.0,2.9375,0.03125,2.9166666666666665,2.7777777777777777,0.1111111111111111,0.041666666666666664,7,1.0,0.0,7,0.0,1.0,0.0,0.0,0.0,8.0,24.0,0.0,21.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,40,104,23,0.0,23,0.0,104,23,40,167,23.0,455,23.0,23.0,335,143,0.1377245508982036,2.7245508982035926,0.36507936507936506,0.18110236220472442,2.6377952755905514,2.2698412698412698,83,102,42,39,42,22,80,42,44,227,225,414,159,108,282,174,0.9911894273127754,1.8237885462555066,1.272,0.75,1.9583333333333333,1.392,83,58,21,72,21,45,13,21,11,162,372,93,237,156,60,54,2.2962962962962963,0.5740740740740741,2.2788461538461537,1.9746835443037976,0.759493670886076,0.5192307692307693,57,19,1,56,1,19,0.0,1,1.0,77,226,4.0,169,58,1.0,4.0,2.935064935064935,0.05194805194805195,2.913793103448276,2.9,0.05,0.06896551724137931,17,8,0.0,17,0.0,8,0.0,0.0,0.0,25.0,75.0,0.0,51.0,24.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,10,2.0,0.0,10,0.0,2.0,0.0,0.0,0.0,12.0,36.0,0.0,30.0,6.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,41,100,29,0.0,29,0.0,100,29,41,170,29.0,452,29.0,29.0,329,152,0.17058823529411765,2.6588235294117646,0.4142857142857143,0.2248062015503876,2.550387596899225,2.1714285714285713,85,84,52,41,52,24,60,52,44,221,247,364,175,124,232,184,1.1176470588235294,1.6470588235294117,1.2773722627737227,0.9117647058823529,1.7058823529411764,1.3430656934306568,79,60,18,69,18,42,18,18,10,157,351,102,225,144,72,48,2.2356687898089174,0.6496815286624203,2.3195876288659796,1.8461538461538463,0.9230769230769231,0.4948453608247423,40,27,4,39,4,24,3.0,4,1.0,71,193,16.0,121,76,13.0,7.0,2.7183098591549295,0.22535211267605634,2.75,2.4516129032258065,0.41935483870967744,0.1590909090909091,24,3,0.0,24,0.0,3,0.0,0.0,0.0,27.0,81.0,0.0,72.0,9.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,8,2.0,0.0,8,0.0,2.0,0.0,0.0,0.0,10.0,30.0,0.0,24.0,6.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,48,105,25,0.0,25,0.0,105,25,48,178,25.0,484,25.0,25.0,340,169,0.1404494382022472,2.7191011235955056,0.3424657534246575,0.19230769230769232,2.6153846153846154,2.315068493150685,85,84,37,46,37,23,61,37,39,206,244,337,175,106,220,154,1.1844660194174756,1.6359223300970873,1.4344262295081966,0.8760330578512396,1.8181818181818181,1.2622950819672132,85,66,18,75,18,45,21,18,10,169,378,111,243,153,81,48,2.2366863905325443,0.6568047337278107,2.3592233009708736,1.8214285714285714,0.9642857142857143,0.46601941747572817,46,26,5,44,5,19,7.0,5,2.0,77,194,32.0,137,62,26.0,11.0,2.5194805194805197,0.4155844155844156,2.6862745098039214,2.0,0.8387096774193549,0.21568627450980393,25,10,1.0,25,1.0,9,1.0,1.0,0.0,36.0,103.0,4.0,76.0,28.0,4.0,1.0,2.861111111111111,0.1111111111111111,2.923076923076923,2.5454545454545454,0.36363636363636365,0.038461538461538464,4,1.0,0.0,4,0.0,1.0,0.0,0.0,0.0,5.0,15.0,0.0,12.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,9.0,0.0,3.0,6.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,52,109,31,0.0,31,0.0,109,31,52,192,31.0,514,31.0,31.0,358,187,0.16145833333333334,2.6770833333333335,0.37349397590361444,0.22142857142857142,2.557142857142857,2.253012048192771,80,90,37,52,37,26,64,37,28,207,271,313,193,115,229,121,1.3091787439613527,1.5120772946859904,1.6495726495726495,0.905511811023622,1.8031496062992125,1.0341880341880343,82,59,17,69,17,37,22,17,13,158,335,122,224,128,83,56,2.1202531645569622,0.7721518987341772,2.2626262626262625,1.6842105263157894,1.0921052631578947,0.5656565656565656,49,22,2,47,2,19,3.0,2,2.0,73,200,17.0,143,59,11.0,8.0,2.73972602739726,0.2328767123287671,2.803921568627451,2.4583333333333335,0.4583333333333333,0.1568627450980392,24,13,0.0,24,0.0,13,0.0,0.0,0.0,37.0,111.0,0.0,72.0,39.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,5,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,56,114,30,0.0,30,0.0,114,30,56,200,30.0,540,30.0,30.0,372,198,0.15,2.7,0.3488372093023256,0.20833333333333334,2.5833333333333335,2.302325581395349,83,92,42,51,42,26,66,42,32,217,273,336,195,120,240,138,1.2580645161290323,1.5483870967741935,1.56,0.8955223880597015,1.791044776119403,1.104,88,55,16,81,16,42,13,16,7,159,385,76,259,142,55,37,2.4213836477987423,0.4779874213836478,2.4903846153846154,2.0,0.7746478873239436,0.3557692307692308,50,21,2,48,2,21,0.0,2,2.0,73,209,8.0,146,65,2.0,8.0,2.863013698630137,0.1095890410958904,2.8076923076923075,2.8260869565217392,0.08695652173913043,0.15384615384615385,10,5,0.0,10,0.0,5,0.0,0.0,0.0,15.0,45.0,0.0,30.0,15.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,3,3.0,0.0,3,0.0,3.0,0.0,0.0,0.0,6.0,18.0,0.0,9.0,9.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,43,104,34,0.0,34,0.0,104,34,43,181,34.0,475,34.0,34.0,346,163,0.1878453038674033,2.6243093922651934,0.44155844155844154,0.2463768115942029,2.5072463768115942,2.116883116883117,82,102,56,51,56,25,77,56,31,240,284,380,209,131,287,149,1.1833333333333333,1.5833333333333333,1.5144927536231885,0.8291139240506329,1.8164556962025316,1.0797101449275361,76,47,11,69,11,34,13,11,7,134,320,71,218,113,50,32,2.388059701492537,0.5298507462686567,2.5057471264367814,1.9482758620689655,0.8620689655172413,0.367816091954023,57,20,2,56,2,19,1.0,2,1.0,79,227,8.0,170,59,5.0,5.0,2.8734177215189876,0.10126582278481013,2.8813559322033897,2.6818181818181817,0.22727272727272727,0.0847457627118644,16,3,0.0,16,0.0,3,0.0,0.0,0.0,19.0,57.0,0.0,48.0,9.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,3,1.0,0.0,3,0.0,1.0,0.0,0.0,0.0,4.0,12.0,0.0,9.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
